"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,177.383667483347,0,1,0.995967327101667,-83.362163412003,0.995967327101667
"12","scale(mean) ~ poly(AnnualFrostDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,188.437364641509,11.0536971581626,0.00397850730479277,0.00396246328620891,-88.8890119910843,0.999929790387876
"9","scale(mean) ~ poly(TempRangeAnnual, 1, raw = T) + (1 | geographic.area/plot.name)",5,197.916412287116,20.532744803769,3.4783326767099e-05,3.46430569879315e-05,-93.6285358138875,0.999964433444864
"6","scale(mean) ~ poly(TempSeasonality, 1, raw = T) + (1 | geographic.area/plot.name)",5,199.312037980067,21.9283704967204,1.73107086931073e-05,1.72409002673096e-05,-94.3263486603632,0.999981674345131
"8","scale(mean) ~ log(length_growing_season) + (1 | geographic.area/plot.name)",5,200.289842577501,22.9061750941546,1.06166445578732e-05,1.05738311030934e-05,-94.8152509590803,0.999992248176234
"4","scale(mean) ~ log(VapourPressureDeficit) + (1 | geographic.area/plot.name)",5,200.993439032744,23.6097715493978,7.46798176007374e-06,7.43786583242464e-06,-95.1670491867019,0.999999686042066
"3","scale(mean) ~ log(PotentialEvapotranspiration) + (1 | geographic.area/plot.name)",5,207.3259473771,29.9422798937536,3.14859305571727e-07,3.1358958098336e-07,-98.3333033588797,0.999999999631647
"2","scale(mean) ~ poly(map, 2, raw = T) + (1 | geographic.area/plot.name)",6,222.013264957125,44.6295974737779,2.03613253643713e-10,2.02792147994002e-10,-104.539965811896,0.999999999834439
"5","scale(mean) ~ log(SolarRadiation) + (1 | geographic.area/plot.name)",5,223.042643686464,45.6589762031171,1.21696837590712e-10,1.21206074051947e-10,-106.191651513561,0.999999999955646
"15","scale(mean) ~ poly(WaterStressMonths, 2, raw = T) + (1 | geographic.area/plot.name)",6,226.768221174281,49.3845536909341,1.88921080328439e-11,1.88159223407875e-11,-106.917443920474,0.999999999974462
"13","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,227.93756595854,50.5538984751938,1.05283527333751e-11,1.04858953306432e-11,-108.6391126496,0.999999999984947
"10","scale(mean) ~ poly(Aridity, 1, raw = T) + (1 | geographic.area/plot.name)",5,228.212767060669,50.829099577322,9.17489846383635e-12,9.13789909945628e-12,-108.776713200664,0.999999999994085
"14","scale(mean) ~ poly(MaxVPD, 2, raw = T) + (1 | geographic.area/plot.name)",6,229.27726820759,51.8936007242438,5.38825052227694e-12,5.36652147042632e-12,-108.171967437129,0.999999999999452
"11","scale(mean) ~ poly(CloudCover, 1, raw = T) + (1 | geographic.area/plot.name)",5,234.399748499354,57.0160810160079,4.16021061217644e-13,4.14343384358935e-13,-111.870203920007,0.999999999999866
"7","scale(mean) ~ poly(PreSeasonality, 1, raw = T) + (1 | geographic.area/plot.name)",5,236.660137428317,59.2764699449707,1.34362506869438e-13,1.33820666829433e-13,-113.000398384488,1
